total_LHeighth_notes,average_RLH_note_35_range,average_RH_note_10_range,total_LHhalf_notes,large_10jumps_RH,total_RH_raw_notes,large_8jumps_LH,RLH_note_35_range,RH_note_10_range,average_LRH_5chord_hand_range,large_5jumps_LH,average_RLH_note_100_range,average_LH_2chord_hand_range,average_LRH_3chord_range,total_RH_notes,total_LRHwhole_notes,average_LH_2chord_range,total_LRHquarter_notes,average_RHhalf_ntoes,AverageTimeBetweenAttacksFeature,average_LH_5chord_range,average_LH_5chord_hand_range,average_LRH64th_notes,average_large_5jumps_LH,total_LHwhole_notes,average_LH_note_35_range,total_RHquarter_notes,average_RLH_note_10_range,average_RLH_note_20_range,average_LH_note_20_range,LH_note_35_range,total_LHquarter_notes,RLH_note_10_range,RLH_note_20_range,average_large_8jumps_LRH,average_RH_3chord_range,total_LH32nd_notes,average_RH_range,average_LHeighth_notes,average_large_8jumps_RH,RLH_note_100_range,average_LHhalf_ntoes,average_LRH16th_notes,LH_note_50_range,total_LRH_sharp_keys_pressed,average_RH_note_50_range,LH_note_100_range,total_RHwhole_notes,large_5jumps_LRH,total_LRH16th_notes,total_RH_flat_keys_pressed,total_LH_notes,average_LH_3chord_range,total_LH64th_notes,average_LRH_2chord_hand_range,total_RH_sharp_keys_pressed,UniqueSetClassSimultaneities,total_RH64th_notes,average_LRHeighth_notes,total_LRHeighth_notes,average_LH_note_10_range,total_LH16th_notes,average_LH_4chord_hand_range,average_large_10jumps_RH,large_9jumps_RH,average_large_9jumps_LH,RH_note_100_range,average_RLH_range,average_large_10jumps_LH,MostCommonNoteQuarterLengthPrevalence,average_RHquarter_notes,total_LRH_notes,average_RH64th_notes,average_RLH_note_50_range,RelativeStrengthOfTopPitchClassesFeature,AverageTimeBetweenAttacksForEachVoiceFeature,LH_note_20_range,average_LRHquarter_notes,total_RH16th_notes,PitchVarietyFeature,total_LRH32nd_notes,total_LH_sharp_keys_pressed,average_LH32nd_notes,RH_note_50_range,average_RH_note_20_range,average_LHquarter_notes,average_large_5jumps_LRH,average_LRH_4chord_hand_range,average_RH_5chord_range,RH_note_35_range,average_LH_4chord_range,UniquePitchClassSetSimultaneities,RelativeStrengthOfTopPitchesFeature,total_LRH_raw_notes,average_RH_3chord_hand_range,MostCommonNoteQuarterLength,average_RH_4chord_range,large_10jumps_LRH,MostCommonSetClassSimultaneityPrevalence,average_LH_3chord_hand_range,total_LRHhalf_notes,average_LH_note_50_range,average_RH_2chord_range,average_RH_5chord_hand_range,ImportanceOfHighRegisterFeature,TriadSimultaneityPrevalence,average_LRH_2chord_range,RH_note_20_range,average_LHwhole_notes,average_large_10jumps_LRH,total_RHhalf_notes,Grade,large_8jumps_RH,large_9jumps_LH,average_LRH32nd_notes,LH_note_10_range,average_RHeighth_notes,total_LRH64th_notes,AverageNoteDurationFeature,total_LH_raw_notes,average_LH_range,average_LRHwhole_notes,average_LH_note_100_range,total_LH_flat_keys_pressed,average_LRHhalf_ntoes,music_key,average_LRH_5chord_range,large_5jumps_RH,average_LH64th_notes,average_large_9jumps_RH,average_RH_4chord_hand_range,average_large_9jumps_LRH,average_RH16th_notes,large_8jumps_LRH,RLH_note_50_range,average_RH_2chord_hand_range,average_RH_note_35_range,large_10jumps_LH,average_RH_note_100_range,total_RHeighth_notes,average_LH16th_notes,DirectionOfMotionFeature,average_LRH_4chord_range,large_9jumps_LRH,average_large_8jumps_LH,NoteDensityFeature,total_LRH_flat_keys_pressed,total_RH32nd_notes,average_LRH_3chord_hand_range,average_RHwhole_notes,average_large_5jumps_RH,average_RH32nd_notes
3,3,0,0,6,158,26,5,0,7,150,8,4,2,376,0,4,0,0,0.603593486805,0,0,0,6,0,0,0,0,5,0,0,9,0,5,11,2,0,3,0,8,22,0,0,4,52,3,6,0,344,0,0,264,3,0,11,42,39,0,0,0,0,20,0,10,6,11,16,8,11,0.8125,0,640,0,2,0.695205479452,0.432184325109,0,0,129,36,0,10,0,5,0,0,9,7,0,5,0,93,0.601265822785,194,3,0.25,2,129,0.228155339806,5,0,4,2,0,0.352487135506,0.23786407767,2,0,0,13,0,8,18,6,0,0,0,0,0.77641984184,36,4,0,3,0,0,6,2,89,0,10,4,12,0,220,5,2,5,6,6,21,0,0.494845360825,2,155,8,4.58,0,0,8,0,6,0
0,4,0,0,6,458,0,8,0,0,0,8,0,2,829,0,0,0,0,0.505338078292,0,0,0,0,0,0,17,0,2,0,0,0,0,2,8,2,0,3,0,8,26,0,0,0,100,5,0,0,217,0,16,0,0,0,3,100,10,0,0,0,0,0,0,11,12,0,26,3,0,0.559610705596,0,829,0,5,0.856060606061,0.505338078292,0,0,244,46,0,0,0,11,2,0,6,6,0,8,0,42,0.708074534161,458,4,0.5,2,6,0.61800486618,0,0,0,3,0,0.677184466019,0.00608272506083,3,2,0,11,0,6,86,0,0,0,0,0,0.507109004739,0,0,0,0,0,0,3,0,217,0,10,6,10,0,86,11,3,4,0,8,184,0,0.420489296636,2,12,0,2.96503496503,16,0,4,0,6,0
18,15,0,0,1,59,43,15,0,0,54,8,3,3,77,0,3,0,0,0.415966386555,0,0,0,9,0,5,32,0,0,0,5,32,0,0,13,3,0,2,0,10,24,0,0,5,0,0,15,0,65,0,0,87,3,0,14,0,8,0,0,0,0,0,0,13,1,11,6,7,11,0.676829268293,0,164,0,9,0.534090909091,0.532504337767,0,0,0,20,0,0,0,0,0,0,10,5,0,0,0,19,0.825,116,5,1.0,0,36,0.367521367521,5,0,3,6,0,0.048,0.307692307692,1,0,0,14,0,4,2,29,0,0,0,0,0.531914893617,57,6,0,5,0,0,1,0,16,0,13,0,14,0,43,15,6,0,29,3,16,0,0.4609375,2,36,10,5.64705882353,0,0,9,0,6,0
295,3,0,0,2,661,28,8,0,10,460,9,4,3,711,0,4,0,0,0.263839285714,0,0,0,6,0,5,121,3,2,0,8,7,3,3,11,3,0,2,0,9,30,0,0,8,51,2,23,4,654,0,40,635,3,0,9,40,33,0,0,0,0,7,6,13,2,12,18,7,12,0.56138996139,0,1346,0,5,0.986072423398,0.313032755218,0,0,336,46,0,11,0,5,3,0,9,7,0,5,2,124,0.832335329341,972,6,0.5,0,287,0.207207207207,5,0,4,3,0,0.196025778733,0.226351351351,3,3,0,12,6,4,10,16,0,0,0,0,0.342857142857,311,5,0,7,9,0,1,2,59,0,13,0,12,0,448,15,3,3,15,6,170,0,0.510344827586,2,329,10,7.6974789916,49,0,7,0,6,0
108,4,6,34,26,850,41,9,6,7,80,11,0,4,955,0,0,0,0,0.247224835372,0,0,0,8,7,5,31,2,3,8,9,209,2,5,11,3,0,3,0,9,37,0,0,16,154,3,26,0,653,0,17,382,0,0,8,110,25,0,0,0,0,0,0,13,45,13,32,7,14,0.421132075472,0,1337,0,5,0.98755186722,0.378368625377,8,0,0,52,0,44,0,9,4,0,9,5,0,6,0,108,0.990990990991,1232,6,0.5,3,283,0.315939278937,0,0,6,4,0,0.322022621424,0.0474383301708,4,6,0,13,6,8,91,28,0,0,0,0,0.374428274428,382,3,0,8,6,0,2,2,230,0,11,7,12,0,420,13,4,3,23,10,398,0,0.532403609516,3,329,11,7.35094339623,23,0,5,0,7,0
0,3,0,6,0,67,0,3,0,0,4,4,0,0,67,0,0,0,0,0.947368421053,0,0,0,5,4,0,38,0,0,0,0,30,0,0,0,0,0,2,0,0,11,0,0,3,2,3,5,3,12,0,0,40,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,2,0,0.635514018692,0,107,0,3,1.0,1.14896214896,0,0,0,11,0,0,0,3,0,0,5,0,0,3,0,8,0.791666666667,107,0,1.0,0,0,1.0,0,0,3,0,0,0.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1.26896551724,40,2,0,2,0,0,30,0,0,0,0,0,0,0,0,5,0,3,0,2,0,0,0.519230769231,0,0,0,3.44144144144,0,0,0,0,0,0
114,8,0,6,4,586,71,19,0,11,213,10,5,2,609,0,5,0,0,0.182984047545,0,0,0,6,0,4,8,12,8,4,6,44,12,15,13,3,0,3,0,9,29,0,0,10,64,4,18,0,732,0,4,426,0,0,13,40,15,0,0,0,0,237,0,13,4,11,18,11,12,0.702415458937,0,1035,0,7,0.884259259259,0.250165194432,4,0,490,43,0,24,0,9,4,0,12,8,0,9,0,68,0.904109589041,994,6,0.25,0,522,0.264988009592,0,0,5,3,0,0.347866419295,0.0467625899281,1,4,0,14,0,6,21,11,0,0,0,0,0.284912843118,408,4,0,6,3,0,30,4,245,0,13,0,13,0,621,20,3,5,9,6,74,0,0.4560546875,3,578,8,8.98709677419,7,0,10,0,5,0
0,5,0,0,0,124,16,5,0,0,40,6,5,3,148,0,5,0,0,0.264705882353,0,0,0,7,0,0,80,0,5,0,0,4,0,5,12,0,0,2,0,0,23,0,0,0,39,4,5,0,71,0,0,70,2,0,15,39,19,0,0,0,0,0,0,0,0,11,11,6,12,0.412322274882,0,218,0,3,0.693333333333,0.836461332785,0,0,9,27,0,0,0,6,0,0,9,4,0,5,0,41,0.945945945946,135,0,1.0,0,27,0.325,5,0,0,3,0,0.0282131661442,0.21875,1,0,0,13,20,6,0,10,0,0,0,0,0.386317907445,11,5,0,5,0,0,17,0,11,0,0,0,13,0,39,6,3,5,8,4,2,0,0.471502590674,3,32,10,6.92857142857,0,0,6,0,5,0
0,8,0,23,0,197,2,16,0,0,17,8,0,0,197,0,0,0,0,0.306818181818,0,0,0,5,0,2,18,0,2,0,2,67,0,2,13,0,0,2,0,8,23,0,0,2,11,2,11,0,176,0,2,90,0,0,13,9,7,0,0,0,0,0,0,0,0,0,12,11,0,0.449477351916,0,287,0,9,0.780821917808,0.477524630542,0,0,22,21,0,2,0,4,0,0,13,0,0,2,0,26,0.714285714286,287,0,0.5,0,153,0.387096774194,0,0,2,0,0,0.278745644599,0.0,1,0,0,14,12,4,4,0,0,0,0,0,0.434504792332,90,2,0,4,0,0,2,0,12,0,0,0,14,0,172,16,0,2,0,4,129,0,0.408256880734,0,157,8,6.50724637681,2,0,0,0,6,0
12,7,0,0,3,159,7,13,0,10,36,9,3,2,165,0,3,0,0,0.152551020408,0,0,0,6,0,0,16,0,13,0,0,13,0,13,11,0,0,3,0,9,26,0,0,5,5,3,15,0,170,0,0,139,0,0,9,4,12,0,0,0,0,57,0,11,3,9,17,7,10,0.595394736842,0,304,0,5,0.79347826087,0.222724039829,0,0,122,28,0,1,0,6,2,0,10,8,0,6,0,39,0.722222222222,241,0,0.25,3,99,0.30612244898,0,0,3,2,0,0.258666666667,0.114285714286,2,2,0,12,0,6,6,3,0,0,0,0,0.221238938053,82,3,0,5,0,0,1,2,33,0,11,7,11,0,144,13,2,4,1,6,17,0,0.420408163265,3,118,8,10.8684210526,0,0,10,0,6,0
0,3,0,0,23,64,62,5,0,6,105,6,7,4,181,0,7,0,0,0.53488372093,0,0,0,8,0,0,26,0,5,0,0,3,0,5,11,3,0,6,0,9,24,0,0,0,1,3,9,0,138,0,15,118,0,0,8,1,9,0,0,0,0,0,0,10,51,10,13,8,12,0.661073825503,0,299,0,3,0.635135135135,0.550228745711,0,0,0,50,0,0,0,5,0,1,10,10,0,5,0,44,0.671875,67,6,1.0,2,80,0.370165745856,0,0,0,7,0,0.163551401869,0.359116022099,8,0,0,12,0,6,60,53,0,0,0,0,0.642594859241,3,8,0,6,0,0,18,3,122,0,9,7,12,0,106,5,7,3,28,4,38,0,0.496551724138,5,95,10,5.08163265306,15,0,13,0,7,0
257,6,7,63,23,834,164,15,7,0,304,11,0,4,834,0,0,0,0,0.220208808352,0,0,0,8,0,4,240,2,3,2,8,176,2,6,14,0,0,3,0,11,37,0,0,12,333,6,27,0,817,0,32,781,4,0,12,154,7,0,0,0,4,272,0,14,24,10,30,9,10,0.365325077399,0,1615,0,7,0.888475836431,0.346620637345,4,0,318,54,0,179,0,15,5,0,13,0,0,14,0,69,0.914285714286,1613,0,0.25,0,572,0.453507340946,8,0,5,0,0,0.320568252007,0.0,2,8,0,15,78,8,40,124,0,4,0,0,0.300416905093,779,4,0,8,21,0,3,0,137,0,14,0,15,0,684,22,0,7,81,9,165,0,0.45,0,619,9,8.64310954064,53,0,8,0,7,0
703,10,0,73,26,1906,268,21,0,16,301,13,0,3,2016,0,0,0,0,0.356991075223,0,0,0,9,0,2,273,10,11,2,3,281,10,17,14,3,0,3,0,10,39,0,0,8,2421,5,22,0,1942,0,0,1115,0,0,13,1699,13,0,0,0,0,0,0,11,26,11,28,11,11,0.500798466943,0,3131,0,9,0.93143812709,0.424172867459,2,0,1568,60,0,722,0,12,5,0,13,3,0,12,0,73,0.991031390135,3021,6,0.25,3,1538,0.358386075949,0,0,4,3,0,0.41322064594,0.0276898734177,2,8,0,15,28,8,50,186,0,0,0,0,0.556398440269,1115,3,0,7,0,0,11,3,176,0,11,8,15,0,1753,22,3,6,169,8,0,0,0.450691655511,3,1597,10,5.59050772627,0,0,4,0,6,0
0,3,0,0,0,91,6,3,0,3,24,6,3,3,108,0,3,0,0,0.406299212598,0,0,0,6,0,0,38,0,3,0,0,5,0,3,8,0,0,3,0,8,18,0,0,3,11,2,8,0,54,0,0,53,3,0,5,11,14,0,0,0,0,7,0,0,0,10,14,4,10,0.466257668712,0,161,0,2,0.754385964912,0.437181473829,0,0,34,22,0,0,0,3,0,0,6,4,0,3,0,26,0.676470588235,104,0,1.0,0,0,0.445378151261,6,0,3,4,0,0.130801687764,0.134453781513,5,0,0,0,0,4,7,2,0,0,0,0,0.482666666667,13,4,0,3,0,0,2,4,20,0,0,0,0,0,8,5,4,3,2,5,5,0,0.450704225352,3,0,8,6.11320754717,0,0,6,0,6,0
458,6,0,0,10,671,52,15,0,11,292,10,4,3,809,0,4,0,0,0.220594842304,0,0,0,6,0,6,70,0,5,0,10,21,0,8,13,2,0,2,0,10,31,0,0,10,156,3,21,0,796,0,34,892,0,0,11,79,18,0,0,0,0,240,8,12,11,10,22,8,12,0.738434163701,0,1701,0,6,0.522540983607,0.26957250579,0,0,6,48,0,77,0,8,4,0,10,4,0,5,3,106,0.464,1398,4,0.5,3,410,0.304549675023,0,0,5,3,0,0.223173803526,0.0882079851439,2,4,0,14,0,8,21,20,0,0,0,0,0.265105251814,727,3,0,7,68,0,2,3,113,0,12,8,14,0,540,15,3,3,7,7,595,0,0.494166094715,3,460,8,9.50627615063,102,0,8,0,6,0
0,2,0,8,0,24,15,2,0,0,15,8,0,3,48,0,0,0,0,0.5,0,0,0,11,0,2,8,0,2,0,2,24,0,2,16,0,0,3,0,8,23,0,0,2,14,3,17,0,31,0,0,32,0,0,17,13,9,0,0,0,0,0,0,0,0,11,9,8,12,0.6,0,80,0,3,0.947368421053,0.5625,0,0,8,19,0,1,0,7,0,0,12,0,0,2,0,21,0.928571428571,56,0,1.0,0,17,0.354166666667,0,0,2,5,0,0.394230769231,0.479166666667,1,0,0,17,0,4,2,14,0,0,0,0,0.554347826087,32,6,0,7,0,0,6,0,19,0,0,0,17,0,18,7,5,2,13,3,0,0,0.6,0,17,11,5.46153846154,0,0,5,0,6,0
200,10,0,0,3,121,91,15,0,0,287,11,3,2,154,0,3,0,0,0.501533742331,0,0,0,7,0,0,39,0,0,0,0,2,0,0,13,3,0,2,0,10,33,0,0,8,251,6,22,0,256,0,0,311,3,0,12,84,19,0,0,0,0,0,0,13,3,12,15,10,12,0.848623853211,0,465,0,11,0.659217877095,0.606645747471,0,0,2,40,0,167,0,12,0,0,11,6,0,4,0,49,0.894736842105,324,5,0.5,0,159,0.269938650307,5,0,8,2,0,0.150779896014,0.165644171779,2,0,0,15,0,6,6,58,0,0,0,0,0.679012345679,203,6,0,7,0,0,7,0,18,0,13,0,14,0,193,19,2,4,50,5,74,0,0.57793764988,3,167,10,4.9156626506,0,0,10,0,7,0
0,2,0,4,9,150,9,5,0,6,36,9,0,4,199,0,0,0,0,0.592020592021,0,0,0,6,0,3,35,0,3,4,6,124,0,3,10,3,0,3,0,9,26,0,0,11,0,2,20,0,165,0,123,128,0,0,7,0,15,0,0,0,0,0,0,10,13,13,17,6,13,0.617737003058,0,327,0,3,0.972972972973,0.560064935065,4,0,12,36,0,0,0,5,3,0,7,8,0,5,0,51,0.82,278,6,1.0,2,34,0.223744292237,0,0,5,4,0,0.164648910412,0.100456621005,4,3,0,12,0,6,19,5,0,0,0,0,0.75329566855,128,3,0,7,113,0,12,2,70,0,9,7,11,0,60,8,4,3,5,5,0,0,0.549520766773,2,37,10,4.55970149254,236,0,5,0,6,0
30,3,0,1,0,63,7,5,0,8,35,7,5,3,96,0,5,0,0,0.465277777778,0,0,0,6,0,3,12,0,3,0,3,9,0,3,10,3,0,3,0,8,21,0,0,3,52,3,15,0,115,0,0,109,3,0,8,24,14,0,0,0,0,53,0,0,0,10,7,7,10,0.4,0,205,0,4,0.974025974026,0.493354885057,0,0,29,25,0,28,0,3,0,0,8,8,0,3,0,28,0.921052631579,157,5,0.25,3,39,0.248275862069,5,0,3,3,0,0.0922509225092,0.255172413793,4,0,0,12,2,6,7,4,0,0,0,0,0.644859813084,94,4,0,5,0,0,4,2,23,0,0,8,11,0,61,8,3,3,4,3,7,0,0.518518518519,2,42,9,5.02857142857,0,0,7,0,6,0
1,5,0,12,0,48,0,9,0,0,7,5,0,2,51,0,0,0,0,0.4,0,0,0,5,1,5,22,0,5,0,5,18,0,5,10,0,0,2,0,0,15,0,0,5,0,2,8,1,44,0,5,33,0,0,8,0,7,0,0,0,0,0,0,0,0,0,8,7,0,0.47619047619,0,84,0,5,0.818181818182,0.56375,0,0,0,15,0,0,0,4,2,0,9,0,0,2,0,19,0.9,81,0,1.0,0,20,0.321428571429,0,0,5,5,0,0.183908045977,0.0357142857143,3,2,0,11,0,2,0,0,0,0,0,0,0.571428571429,33,3,0,3,4,0,16,0,2,0,0,0,11,0,28,10,5,2,0,3,20,0,0.520547945205,0,24,0,5.28,9,0,8,0,5,0
747,9,0,2,47,1190,435,19,0,0,543,11,0,3,1422,0,0,0,0,0.575471698113,0,0,0,9,0,10,0,0,3,0,10,46,0,3,13,3,0,6,0,8,36,0,0,11,107,3,20,0,1162,0,214,795,0,0,10,82,13,0,0,0,0,0,0,11,92,11,25,10,11,0.547178329571,0,2217,0,7,0.605657237937,0.420840587211,0,0,1106,55,0,25,0,8,8,0,12,8,0,8,0,81,0.642642642643,1985,5,0.25,0,769,0.243060257278,0,0,6,4,0,0.276155717762,0.0487474610697,2,8,0,14,0,8,699,334,0,0,0,0,0.751748251748,795,6,0,6,287,0,18,0,1052,0,10,0,14,0,954,19,4,5,326,7,84,0,0.505642127888,2,810,10,4.65505226481,501,0,8,0,7,0
0,3,0,6,0,0,0,3,0,0,0,3,0,4,16,0,0,0,0,0.6,0,0,0,0,0,3,0,0,0,0,3,20,0,0,8,0,0,4,0,0,6,0,0,3,0,0,6,0,2,0,0,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0.833333333333,0,42,0,3,1.0,0.6,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,12,0.777777777778,26,0,1.0,0,0,0.483870967742,0,0,3,4,0,0.275862068966,0.129032258065,0,0,0,0,0,2,0,0,0,0,0,0,0.673684210526,26,2,0,3,0,0,1,0,9,0,0,0,0,0,1,3,4,0,0,0,0,0,0.392857142857,0,0,0,4.55,0,0,5,0,5,0
22,6,0,0,0,86,1,10,0,0,10,8,4,3,86,0,4,0,0,0.301724137931,0,0,0,5,0,0,22,0,10,0,0,11,0,10,11,0,0,2,0,8,22,0,0,2,13,2,13,0,87,0,0,65,0,0,11,2,9,0,0,0,0,6,0,0,0,0,8,10,0,0.423841059603,0,151,0,6,0.771428571429,0.359489889706,0,0,13,21,0,11,0,4,0,0,11,0,0,2,0,22,0.913043478261,145,0,0.5,0,66,0.443181818182,0,0,2,0,0,0.15923566879,0.0454545454545,1,0,0,12,0,2,1,0,0,0,0,0,0.35761589404,59,2,0,5,0,0,2,0,3,0,0,0,11,0,79,12,0,2,0,3,39,0,0.553846153846,0,76,8,7.32142857143,0,2,8,0,6,0
337,5,0,2,25,776,99,15,0,10,182,13,3,3,905,0,3,0,0,0.149497623163,0,0,0,8,0,6,0,8,4,6,15,25,8,8,15,3,0,3,0,12,38,0,0,18,0,4,38,0,716,0,615,648,0,0,12,0,17,0,0,0,8,142,0,17,40,13,25,9,13,0.582743077914,0,1553,0,8,0.875796178344,0.220268062046,12,0,741,64,0,0,0,12,4,0,13,5,0,12,0,93,0.706349206349,1422,6,0.25,3,439,0.358024691358,0,0,6,4,0,0.436225975539,0.0502645502646,2,6,0,17,0,7,53,44,0,8,0,0,0.202495621716,646,3,0,12,537,0,12,2,289,0,14,8,16,0,544,22,4,6,39,8,20,0,0.573827851645,3,491,10,11.8333333333,1152,0,8,0,7,0
122,2,0,0,1,306,25,4,0,6,175,8,3,3,307,0,3,0,0,0.224310776942,0,0,0,6,0,4,23,0,2,0,4,3,0,2,11,3,0,2,0,8,26,0,0,6,71,2,15,0,306,0,3,282,3,0,10,59,17,0,0,0,0,0,0,10,1,9,17,8,10,0.679117147708,0,589,0,7,0.75,0.29513482781,0,0,72,36,0,12,0,4,2,0,9,5,0,3,0,83,0.984375,431,6,0.5,0,157,0.190476190476,5,0,4,0,0,0.128,0.175438596491,2,2,0,12,0,6,4,13,0,0,0,0,0.294599018003,125,4,0,5,0,0,2,3,29,0,10,0,11,0,223,15,0,2,6,5,184,0,0.507662835249,3,178,8,8.69230769231,3,0,7,0,6,0
12,6,0,4,3,24,2,12,0,6,40,11,5,3,87,0,5,0,0,0.474206349206,0,0,0,5,0,7,15,0,8,2,12,95,0,12,16,4,0,5,0,8,28,0,0,12,51,1,13,0,114,0,5,118,0,0,21,8,14,0,0,0,0,0,0,12,5,12,8,11,12,0.730769230769,0,205,0,5,0.828571428571,0.618211659664,2,0,0,42,0,43,0,3,2,0,12,10,0,3,0,62,1.0,139,7,1.0,0,68,0.346153846154,0,0,6,6,0,0.275590551181,0.0615384615385,1,2,0,17,0,6,17,1,0,0,0,0,0.623115577889,115,3,0,5,12,0,3,3,63,0,11,0,17,0,79,13,6,2,1,3,8,0,0.412790697674,3,68,10,5.12698412698,17,0,12,0,6,0
0,3,0,4,0,69,2,5,0,0,37,6,0,0,69,0,0,0,0,0.604137931034,0,0,0,5,0,5,38,0,5,0,5,117,0,5,9,0,0,2,0,8,18,0,0,5,1,2,10,0,118,0,7,125,0,0,7,1,6,0,0,0,0,0,0,0,0,0,11,7,0,0.798969072165,0,194,0,2,0.951219512195,0.790800865801,0,0,0,20,0,0,0,4,0,0,8,0,0,2,0,27,0.909090909091,194,0,1.0,0,39,0.340425531915,0,0,3,0,0,0.0618556701031,0.0,4,0,0,11,4,4,1,0,0,0,0,0,0.809174311927,125,3,0,3,11,0,16,0,6,0,0,0,10,0,71,5,0,2,0,4,0,0,0.623655913978,0,43,8,4.26966292135,18,0,0,0,5,0
48,6,0,5,1,61,6,9,0,0,8,9,0,2,88,0,0,0,0,0.412280701754,0,0,0,8,0,2,32,0,2,0,2,54,0,2,10,3,0,2,0,8,25,0,0,5,1,2,18,0,77,0,0,107,0,0,7,0,7,0,0,0,0,0,0,10,1,16,15,6,16,0.553846153846,0,195,0,5,0.98,0.475834350834,0,0,0,31,0,1,0,3,0,0,9,10,0,2,0,24,1.0,168,5,1.0,0,26,0.739130434783,0,0,3,3,0,0.0652173913043,0.0869565217391,7,0,0,11,1,4,3,1,0,0,0,0,0.477611940299,107,2,0,6,3,0,30,0,13,0,10,0,10,0,60,9,3,2,1,6,28,0,0.634285714286,2,57,9,6.0612244898,3,0,9,0,6,0
45,8,0,0,1,98,11,19,0,11,24,10,5,2,113,0,5,0,0,0.356060606061,0,0,0,6,0,3,2,19,12,4,5,3,19,19,12,2,0,2,0,9,28,0,0,8,0,3,16,0,131,0,13,84,0,0,13,0,21,0,0,0,0,18,8,10,1,12,11,12,12,0.434343434343,0,197,0,8,0.959183673469,0.346923407917,4,0,62,30,0,0,0,7,2,0,12,10,0,5,3,49,0.904761904762,164,4,0.5,0,111,0.195488721805,0,0,4,2,0,0.272340425532,0.195488721805,1,2,0,13,0,5,2,1,0,0,0,0,0.495,66,3,0,6,12,0,16,2,7,0,10,0,12,0,124,20,2,3,1,4,34,0,0.458823529412,2,120,8,6.10204081633,25,0,11,0,6,0
23,6,0,9,1,111,4,14,0,0,14,9,4,2,111,0,4,0,0,0.375,2,8,0,6,0,6,21,2,2,5,11,17,2,4,12,0,0,2,0,11,27,0,0,11,138,2,20,0,115,0,0,110,0,0,10,72,10,0,0,0,0,45,0,11,1,9,14,9,0,0.502262443439,0,221,0,6,0.85,0.358857142857,8,0,66,38,0,66,0,5,2,0,10,0,0,3,0,44,1.0,218,0,0.25,0,56,0.371212121212,0,0,4,0,0,0.260869565217,0.00757575757576,3,2,0,13,13,6,1,2,0,0,0,0,0.438735177866,107,2,0,6,0,0,11,0,9,0,11,0,13,0,68,15,0,2,0,5,10,0,0.512953367876,0,60,8,6.51785714286,0,0,10,0,5,0
114,9,3,4,93,2190,484,22,3,9,994,12,6,3,2645,0,6,0,0,0.158872431488,0,0,0,7,0,4,39,4,9,2,8,52,4,18,13,3,0,4,0,9,36,0,0,9,107,9,26,0,2508,0,327,2084,3,0,12,62,50,0,0,0,0,1328,7,13,180,11,28,8,13,0.683836206897,0,4729,0,9,0.92481884058,0.24232740642,4,0,1736,61,0,45,0,22,3,0,11,10,2,22,2,212,0.846354166667,3737,6,0.25,2,1353,0.434314240673,6,0,4,5,6,0.23224852071,0.0859169732002,3,6,0,15,4,8,396,187,0,0,0,0,0.227914740627,1547,5,0,8,162,0,16,3,880,0,11,7,14,0,1958,23,5,8,92,9,287,0,0.476034603694,3,1557,9,10.7399380805,489,0,12,0,7,0
34,8,0,1,1,92,5,15,0,0,9,9,4,3,106,0,4,0,0,0.259124087591,0,0,0,7,0,4,3,0,12,0,4,27,0,12,13,0,0,4,0,9,24,0,0,11,14,3,12,0,96,0,2,66,4,0,13,8,12,0,0,0,0,0,0,10,1,10,10,8,11,0.720930232558,0,172,0,7,0.80487804878,0.358396178984,0,0,0,28,0,6,0,6,0,0,11,7,0,4,0,30,0.518518518519,154,0,0.5,0,68,0.427536231884,7,0,6,5,0,0.5,0.108695652174,2,0,0,14,2,4,2,3,0,0,0,0,0.352941176471,62,3,0,4,0,0,2,0,51,0,10,0,13,0,80,17,5,4,2,3,87,0,0.51875,3,75,9,7.45945945946,2,0,13,0,6,0
44,6,0,0,3,252,23,11,0,7,129,9,0,3,280,0,0,0,0,0.312435233161,0,0,0,6,0,4,1,0,8,0,6,8,0,8,11,2,0,3,0,10,27,0,0,8,0,2,24,0,315,0,208,305,0,0,9,0,17,0,0,0,0,249,0,13,3,10,20,8,10,0.804159445407,0,585,0,6,0.529100529101,0.276090804357,0,0,195,45,0,0,0,4,0,0,9,7,0,4,0,73,0.833333333333,557,5,0.25,3,157,0.415584415584,0,0,4,4,0,0.0590163934426,0.025974025974,4,0,0,12,0,7,6,9,0,0,0,0,0.394838709677,305,4,0,7,249,0,12,2,105,0,13,8,12,0,216,15,4,4,7,6,54,0,0.487179487179,2,166,8,6.86178861789,457,0,9,0,6,0
